dataset	model	population_id	population_name	population	median_f1	mean_f1	median_precision	median_recall	median_support	n_runs
dataset_name-FR-FCM-Z238_seed-42	cyanno	17	Dendritic Cell (Type 2, CD1c+)	Dendritic Cell (Type 2, CD1c+)	0.25464684014869887	0.25464684014869887	0.2044776119402985	0	461	5
dataset_name-FR-FCM-Z238_seed-42	cyanno	18	Monocyte (CD14+ CD16+)	Monocyte (CD14+ CD16+)	0.8153356253170264	0.7932942932540885	0.770047640592979	0.8404354557002223	100186	5
dataset_name-FR-FCM-Z238_seed-42	cyanno	19	Monocyte (CD14+ CD16-)	Monocyte (CD14+ CD16-)	0.973087573881429	0.9669042449100899	0.9697157049011157	0.9764829738245274	678706	5
dataset_name-FR-FCM-Z238_seed-42	cyanno	2	B Cell (Memory)	B Cell (Memory)	0.9578307949643455	0.9586086609900589	0.9460182913227749	0.9657047582403488	38985	5
dataset_name-FR-FCM-Z238_seed-42	cyanno	20	Monocyte (CD14- CD16+)	Monocyte (CD14- CD16+)	0.7483609116453326	0.7321262867820477	0.7560967360054118	0.7763908973285638	27095	5
dataset_name-FR-FCM-Z238_seed-42	cyanno	21	NK Cell (CD56+ CD16+)	NK Cell (CD56+ CD16+)	0.9388918117355656	0.9352226465281063	0.9027588173287944	0.9873374061526976	211586	5
dataset_name-FR-FCM-Z238_seed-42	cyanno	22	NK Cell (CD56+ CD16-)	NK Cell (CD56+ CD16-)	0.7693682453507781	0.7648487724914491	0.9419945427339143	0.6447656592203241	70398	5
dataset_name-FR-FCM-Z238_seed-42	cyanno	23	Plasmacytoid Dendritic Cell	Plasmacytoid Dendritic Cell	0.9900096061479348	0.9897709921768911	0.9826780663000986	0.9988079864905136	30997	5
dataset_name-FR-FCM-Z238_seed-42	cyanno	3	B Cell (Plasmablast)	B Cell (Plasmablast)	0.8699709925589608	0.8566494952895013	0.8480435608458908	0.9008609093354856	15469	5
dataset_name-FR-FCM-Z238_seed-42	cyanno	4	Basophil	Basophil	0.9646071470807728	0.9646071470807728	0.9661830752149819	0	2334	5
dataset_name-FR-FCM-Z238_seed-42	cyanno	5	CD4+ CD8+ T Cell	CD4+ CD8+ T Cell	0.7378677914722352	0.7202906383649855	0.6182884290269426	0.7375922612989962	186698	5
dataset_name-FR-FCM-Z238_seed-42	cyanno	6	CD4+ T Cell (Central Memory)	CD4+ T Cell (Central Memory)	0.6957559413766939	0.6889298463458928	0.685188669901951	0.695479311592746	198103	5
dataset_name-FR-FCM-Z238_seed-42	cyanno	7	CD4+ T Cell (EMRA)	CD4+ T Cell (EMRA)	0.43322917280820705	0.4105233542145595	0.45929512442292536	0.5119130555942595	7522	5
dataset_name-FR-FCM-Z238_seed-42	cyanno	8	CD4+ T Cell (Effector Memory)	CD4+ T Cell (Effector Memory)	0.7169934192486975	0.6994157246672625	0.7124091085909213	0.7032136105860114	33856	5
dataset_name-FR-FCM-Z238_seed-42	cyanno	9	CD4+ T Cell (Naive)	CD4+ T Cell (Naive)	0.7387321278579273	0.7201236954786628	0.6971348285620166	0.8480576289844437	207118	5
dataset_name-FR-FCM-Z238_seed-42	cygate	1	B Cell (CD27-)	B Cell (CD27-)	0.9750257371865579	0.9728815712931638	0.995053447129032	0.9563741468421906	110209	5
dataset_name-FR-FCM-Z238_seed-42	cygate	10	CD4+ T Cell (Treg)	CD4+ T Cell (Treg)	0.15967659030604447	0.28887062851809564	0.6006711409395973	0.10608018310691081	53998	5
dataset_name-FR-FCM-Z238_seed-42	cygate	11	CD4- CD8- T Cell	CD4- CD8- T Cell	0.8464678494731799	0.8323617819174813	0.968260639569852	0.8124513571359082	165094	5
dataset_name-FR-FCM-Z238_seed-42	cygate	12	CD8+ T Cell (Central Memory)	CD8+ T Cell (Central Memory)	0.708518909050849	0.6732982881047384	0.6561534425464933	0.7699675047032666	28946	5
dataset_name-FR-FCM-Z238_seed-42	cygate	13	CD8+ T Cell (EMRA)	CD8+ T Cell (EMRA)	0.6889469661480806	0.6906650308579325	0.6097560975609756	0.7934316741605533	40513	5
dataset_name-FR-FCM-Z238_seed-42	cygate	14	CD8+ T Cell (Effector Memory)	CD8+ T Cell (Effector Memory)	0.5028223629313308	0.5061194295439594	0.47764436821040596	0.5567848573713676	7420	5
dataset_name-FR-FCM-Z238_seed-42	cygate	15	CD8+ T Cell (Naive)	CD8+ T Cell (Naive)	0.8861695002878662	0.8370190695295553	0.9177779223313601	0.8722064495238315	172943	5
dataset_name-FR-FCM-Z238_seed-42	cygate	16	Dendritic Cell (Type 1, CD141+)	Dendritic Cell (Type 1, CD141+)	0.4780446668640822	0.45697749870178433	0.45400730103618114	0.4687123140828085	7463	5
dataset_name-FR-FCM-Z238_seed-42	cygate	17	Dendritic Cell (Type 2, CD1c+)	Dendritic Cell (Type 2, CD1c+)	0.06973848069738481	0.06973848069738481	0.04666666666666667	0	461	5
dataset_name-FR-FCM-Z238_seed-42	cygate	18	Monocyte (CD14+ CD16+)	Monocyte (CD14+ CD16+)	0.7941461859739091	0.7745019684809561	0.7354146409223503	0.8452087964433154	100186	5
dataset_name-FR-FCM-Z238_seed-42	cygate	19	Monocyte (CD14+ CD16-)	Monocyte (CD14+ CD16-)	0.9694131933611077	0.9628365342890168	0.9788688674466587	0.9601384512845371	678706	5
dataset_name-FR-FCM-Z238_seed-42	cygate	2	B Cell (Memory)	B Cell (Memory)	0.935556451508018	0.9343530965709319	0.9033092645294823	0.9484673592407337	38985	5
dataset_name-FR-FCM-Z238_seed-42	cygate	20	Monocyte (CD14- CD16+)	Monocyte (CD14- CD16+)	0.6860113701206754	0.6976821298668497	0.8156598653130968	0.5990773205388448	27095	5
dataset_name-FR-FCM-Z238_seed-42	cygate	21	NK Cell (CD56+ CD16+)	NK Cell (CD56+ CD16+)	0.9231088659920298	0.9249295612431039	0.9083981993810373	0.9587069283170038	211586	5
dataset_name-FR-FCM-Z238_seed-42	cygate	22	NK Cell (CD56+ CD16-)	NK Cell (CD56+ CD16-)	0.7645059060789398	0.7853284610679383	0.9157201451333018	0.6561541830924222	70398	5
dataset_name-FR-FCM-Z238_seed-42	cygate	23	Plasmacytoid Dendritic Cell	Plasmacytoid Dendritic Cell	0.9682215376878105	0.9722991057052546	0.9418044605331779	0.9947683851528095	30997	5
dataset_name-FR-FCM-Z238_seed-42	cygate	3	B Cell (Plasmablast)	B Cell (Plasmablast)	0.7462913655382274	0.7439026249565167	0.6875673927108044	0.815983108324269	15469	5
dataset_name-FR-FCM-Z238_seed-42	cygate	4	Basophil	Basophil	0.8955350594549127	0.8955350594549127	0.8784864996666802	0	2334	5
dataset_name-FR-FCM-Z238_seed-42	cygate	5	CD4+ CD8+ T Cell	CD4+ CD8+ T Cell	0.5302642683827408	0.576791881961125	0.6567448274522562	0.43075983674168977	186698	5
dataset_name-FR-FCM-Z238_seed-42	cygate	6	CD4+ T Cell (Central Memory)	CD4+ T Cell (Central Memory)	0.6500348275014342	0.6426101928509071	0.6314516011485708	0.6532530459608348	198103	5
dataset_name-FR-FCM-Z238_seed-42	cygate	7	CD4+ T Cell (EMRA)	CD4+ T Cell (EMRA)	0.19275743745211052	0.22844737868994874	0.18287573322817569	0.3832295668300437	7522	5
dataset_name-FR-FCM-Z238_seed-42	cygate	8	CD4+ T Cell (Effector Memory)	CD4+ T Cell (Effector Memory)	0.6610790714783042	0.597030152615507	0.5643534087435035	0.7390512556909972	33856	5
dataset_name-FR-FCM-Z238_seed-42	cygate	9	CD4+ T Cell (Naive)	CD4+ T Cell (Naive)	0.7004095182282984	0.701564631551992	0.6304220062248961	0.8776445868876904	207118	5
dataset_name-FR-FCM-Z238_seed-42	dgcytof	1	B Cell (CD27-)	B Cell (CD27-)	0.9858920630858312	0.9841946153107755	0.9878047669790614	0.9850051377181257	110209	5
dataset_name-FR-FCM-Z238_seed-42	dgcytof	10	CD4+ T Cell (Treg)	CD4+ T Cell (Treg)	0.7212633953750706	0.7141567381486156	0.7564500904585857	0.621308211349139	53998	5
dataset_name-FR-FCM-Z238_seed-42	dgcytof	11	CD4- CD8- T Cell	CD4- CD8- T Cell	0.8930739644873898	0.8474146376238944	0.8497288465362766	0.9612924408989201	165094	5
dataset_name-FR-FCM-Z238_seed-42	dgcytof	12	CD8+ T Cell (Central Memory)	CD8+ T Cell (Central Memory)	0.7252708431464907	0.6855587902214608	0.7613722998729352	0.7641183512912605	28946	5
dataset_name-FR-FCM-Z238_seed-42	dgcytof	13	CD8+ T Cell (EMRA)	CD8+ T Cell (EMRA)	0.8233849512245036	0.7891983446221581	0.8372577817785569	0.8672735749515373	40513	5
