dataset	model	crossvalidation	n_cells	f1_macro_median	f1_weighted_median	runtime_seconds
dataset_name-FR-FCM-Z238_seed-42	lda	num-2	2351561	0.7007626620478442	0.7870177298157431	NA
dataset_name-FR-FCM-Z238_seed-42	lda	num-3	2403060	0.7162564936849146	0.7475806592941898	NA
dataset_name-FR-FCM-Z238_seed-42	lda	num-4	2390998	0.7368915501900243	0.7670905886585263	NA
dataset_name-FR-FCM-Z238_seed-42	lda	num-5	2385788	0.7263742952356184	0.8123162203178632	NA
dataset_name-FR-FCM-Z238_seed-42	random	num-1	2400492	0.03263755615597446	0.05562672224927838	NA
dataset_name-FR-FCM-Z238_seed-42	random	num-2	2351561	0.030631973468398025	0.05390357449518111	NA
dataset_name-FR-FCM-Z238_seed-42	random	num-3	2403060	0.0372495141259506	0.05672078221829751	NA
dataset_name-FR-FCM-Z238_seed-42	random	num-4	2390998	0.03473500971449008	0.05472732374171139	NA
dataset_name-FR-FCM-Z238_seed-42	random	num-5	2385788	0.03507457081051325	0.057267771032941395	NA
dataset_name-FR-FCM-Z2KP-covid_seed-42	cyanno	num-1	3315861	0.9805540647389256	0.9934701050521636	NA
dataset_name-FR-FCM-Z2KP-covid_seed-42	cyanno	num-2	3490514	0.975143066336179	0.990288414721853	NA
dataset_name-FR-FCM-Z2KP-covid_seed-42	cyanno	num-3	3390064	0.9740069142283323	0.9907847120641384	NA
dataset_name-FR-FCM-Z2KP-covid_seed-42	cyanno	num-4	3423803	0.9842201715215279	0.994368359966571	NA
dataset_name-FR-FCM-Z2KP-covid_seed-42	cyanno	num-5	3496879	0.9824104001597765	0.9934311041616489	NA
dataset_name-FR-FCM-Z2KP-covid_seed-42	cygate	num-1	3315861	0.9365780639005434	0.9733829838919129	NA
dataset_name-FR-FCM-Z2KP-covid_seed-42	cygate	num-2	3490514	0.7672940963653354	0.9152886883208549	NA
dataset_name-FR-FCM-Z2KP-covid_seed-42	cygate	num-3	3390064	0.7638318645987333	0.9115752492681712	NA
dataset_name-FR-FCM-Z2KP-covid_seed-42	cygate	num-4	3423803	0.8676654275302594	0.9481653432273169	NA
dataset_name-FR-FCM-Z2KP-covid_seed-42	cygate	num-5	3496879	0.7938443618772052	0.9068438759843359	NA
dataset_name-FR-FCM-Z2KP-covid_seed-42	dgcytof	num-1	3315861	0.9830214564477213	0.9921810960916376	NA
dataset_name-FR-FCM-Z2KP-covid_seed-42	dgcytof	num-2	3490514	0.9343559434951919	0.9750624772120468	NA
dataset_name-FR-FCM-Z2KP-covid_seed-42	dgcytof	num-3	3390064	0.9813810254380669	0.992370035444776	NA
dataset_name-FR-FCM-Z2KP-covid_seed-42	dgcytof	num-4	3423803	0.978436261289288	0.9912760860213203	NA
dataset_name-FR-FCM-Z2KP-covid_seed-42	dgcytof	num-5	3496879	0.980306594747064	0.9915049657342492	NA
dataset_name-FR-FCM-Z2KP-covid_seed-42	gatemeclass[E]	num-1	3315861	NA	0	NA
dataset_name-FR-FCM-Z2KP-covid_seed-42	gatemeclass[E]	num-2	3490514	NA	0	NA
dataset_name-FR-FCM-Z2KP-covid_seed-42	gatemeclass[E]	num-3	3390064	NA	0	NA
dataset_name-FR-FCM-Z2KP-covid_seed-42	gatemeclass[E]	num-4	3423803	NA	0	NA
dataset_name-FR-FCM-Z2KP-covid_seed-42	gatemeclass[E]	num-5	3496879	NA	0	NA
dataset_name-FR-FCM-Z2KP-covid_seed-42	gatemeclass[V]	num-1	3315861	NA	0	NA
dataset_name-FR-FCM-Z2KP-covid_seed-42	gatemeclass[V]	num-2	3490514	NA	0	NA
dataset_name-FR-FCM-Z2KP-covid_seed-42	gatemeclass[V]	num-3	3390064	NA	0	NA
dataset_name-FR-FCM-Z2KP-covid_seed-42	gatemeclass[V]	num-4	3423803	NA	0	NA
dataset_name-FR-FCM-Z2KP-covid_seed-42	gatemeclass[V]	num-5	3496879	NA	0	NA
dataset_name-FR-FCM-Z2KP-covid_seed-42	knn	num-1	3315861	0.7158000064707002	0.8401842942539955	NA
dataset_name-FR-FCM-Z2KP-covid_seed-42	knn	num-2	3490514	0.7245023494865678	0.8386539937360379	NA
dataset_name-FR-FCM-Z2KP-covid_seed-42	knn	num-3	3390064	0.7238901453308595	0.8423786026210771	NA
dataset_name-FR-FCM-Z2KP-covid_seed-42	knn	num-4	3423803	0.7241821116553715	0.8432409903858178	NA
dataset_name-FR-FCM-Z2KP-covid_seed-42	knn	num-5	3496879	0.6810847337865248	0.7917038406357907	NA
dataset_name-FR-FCM-Z2KP-covid_seed-42	lda	num-1	3315861	0.8362823041550682	0.9376693788577458	NA
dataset_name-FR-FCM-Z2KP-covid_seed-42	lda	num-2	3490514	0.7417586125625997	0.8873188174096512	NA
dataset_name-FR-FCM-Z2KP-covid_seed-42	lda	num-3	3390064	0.7300579775012228	0.8916043439644084	NA
dataset_name-FR-FCM-Z2KP-covid_seed-42	lda	num-4	3423803	0.7779861297266955	0.9142036856256065	NA
dataset_name-FR-FCM-Z2KP-covid_seed-42	lda	num-5	3496879	0.7419122798822576	0.8987392917457002	NA
dataset_name-FR-FCM-Z2KP-covid_seed-42	random	num-1	3315861	0.15843969729566507	0.20116835758646812	NA
dataset_name-FR-FCM-Z2KP-covid_seed-42	random	num-2	3490514	0.15848986556498892	0.2011898193798173	NA
dataset_name-FR-FCM-Z2KP-covid_seed-42	random	num-3	3390064	0.15840412313589086	0.2011324091769678	NA
dataset_name-FR-FCM-Z2KP-covid_seed-42	random	num-4	3423803	0.15734043056187325	0.20218028861511733	NA
dataset_name-FR-FCM-Z2KP-covid_seed-42	random	num-5	3496879	0.15786869033281942	0.20064232278495703	NA
dataset_name-FR-FCM-Z2KP-healthy_seed-42	cyanno	num-1	1346699	0.9784841204535832	0.9900648893092173	NA
dataset_name-FR-FCM-Z2KP-healthy_seed-42	cyanno	num-2	1174493	0.987554189890648	0.9941190858981013	NA
dataset_name-FR-FCM-Z2KP-healthy_seed-42	cyanno	num-3	1231233	0.9822074872410326	0.99197951521844685	NA
dataset_name-FR-FCM-Z2KP-healthy_seed-42	cyanno	num-4	1266374	0.9843289849054321	0.9936995706663879	NA
dataset_name-FR-FCM-Z2KP-healthy_seed-42	cyanno	num-5	1212710	0.9896848497365129	0.9955954563560776	NA
dataset_name-FR-FCM-Z2KP-healthy_seed-42	cygate	num-1	1346699	0.8982124160244744	0.9473675296457187	NA
