dataset	model	stratification	crossvalidation	run_id	population_id	population_name	population	tp	fp	fn	tn	tpr	fpr	fnr	tnr
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cyanno	drop-both	num-2	run0	2	Effector memory CD4+ T cells	Effector memory CD4+ T cells	109932	2	4534	526441	0.9603899847989796	3.7990817619381394e-6	0.03961001520102039	0.999996200918238
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cyanno	unfiltered	num-2	run0	2	Effector memory CD4+ T cells	Effector memory CD4+ T cells	109932	2	4534	526441	0.9603899847989796	3.7990817619381394e-6	0.03961001520102039	0.999996200918238
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cyanno	drop-train	num-2	run0	3	Effector memory CD8+ T cells	Effector memory CD8+ T cells	9969	1	463	630476	0.9556173312883436	1.5861006824991238e-6	0.04438266871165644	0.9999984138993175
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cyanno	drop-both	num-2	run0	3	Effector memory CD8+ T cells	Effector memory CD8+ T cells	9969	1	463	630476	0.9556173312883436	1.5861006824991238e-6	0.04438266871165644	0.9999984138993175
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cyanno	unfiltered	num-2	run0	3	Effector memory CD8+ T cells	Effector memory CD8+ T cells	9969	1	463	630476	0.9556173312883436	1.5861006824991238e-6	0.04438266871165644	0.9999984138993175
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cyanno	drop-train	num-2	run0	4	NK cells	NK cells	108830	0	0	532079	1	0	0	1
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cyanno	drop-both	num-2	run0	4	NK cells	NK cells	108830	0	0	532079	1	0	0	1
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cyanno	unfiltered	num-2	run0	4	NK cells	NK cells	108830	0	0	532079	1	0	0	1
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cyanno	drop-train	num-2	run0	5	Naive CD4+ T cells	Naive CD4+ T cells	192952	628	29863	417466	0.8659740143168099	0.0015020545618927802	0.1340259856831901	0.9984979454381072
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cyanno	drop-both	num-2	run0	5	Naive CD4+ T cells	Naive CD4+ T cells	192952	628	29863	417466	0.8659740143168099	0.0015020545618927802	0.1340259856831901	0.9984979454381072
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cyanno	unfiltered	num-2	run0	5	Naive CD4+ T cells	Naive CD4+ T cells	192952	628	29863	417466	0.8659740143168099	0.0015020545618927802	0.1340259856831901	0.9984979454381072
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cyanno	drop-train	num-2	run0	6	Naive CD8+ T cells	Naive CD8+ T cells	50589	7080	7233	576007	0.8749092041091626	0.012142270364456762	0.1250907958908374	0.9878577296355432
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cyanno	drop-both	num-2	run0	6	Naive CD8+ T cells	Naive CD8+ T cells	50589	7080	7233	576007	0.8749092041091626	0.012142270364456762	0.1250907958908374	0.9878577296355432
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cyanno	unfiltered	num-2	run0	6	Naive CD8+ T cells	Naive CD8+ T cells	50589	7080	7233	576007	0.8749092041091626	0.012142270364456762	0.1250907958908374	0.9878577296355432
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cyanno	drop-train	num-2	run0	7	TEMRA CD4+ T cells	TEMRA CD4+ T cells	334	29831	623	610121	0.3490073145245559	0.04661443358251869	0.6509926854754441	0.9533855664174813
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cyanno	drop-both	num-2	run0	7	TEMRA CD4+ T cells	TEMRA CD4+ T cells	334	29831	623	610121	0.3490073145245559	0.04661443358251869	0.6509926854754441	0.9533855664174813
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cyanno	unfiltered	num-2	run0	7	TEMRA CD4+ T cells	TEMRA CD4+ T cells	334	29831	623	610121	0.3490073145245559	0.04661443358251869	0.6509926854754441	0.9533855664174813
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cyanno	drop-train	num-2	run0	8	TEMRA CD8+ T cells	TEMRA CD8+ T cells	7752	6892	7222	619043	0.51769734205957	0.011010727950985327	0.4823026579404301	0.9889892720490147
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cyanno	drop-both	num-2	run0	8	TEMRA CD8+ T cells	TEMRA CD8+ T cells	7752	6892	7222	619043	0.51769734205957	0.011010727950985327	0.4823026579404301	0.9889892720490147
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cyanno	unfiltered	num-2	run0	8	TEMRA CD8+ T cells	TEMRA CD8+ T cells	7752	6892	7222	619043	0.51769734205957	0.011010727950985327	0.4823026579404301	0.9889892720490147
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cyanno	drop-train	num-3	run0	1	B cells	B cells	106866	0	3	562332	0.9999719282486035	0	2.8071751396569632e-5	1
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cyanno	drop-both	num-3	run0	1	B cells	B cells	106866	0	3	562332	0.9999719282486035	0	2.8071751396569632e-5	1
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cyanno	unfiltered	num-3	run0	1	B cells	B cells	106866	0	3	562332	0.9999719282486035	0	2.8071751396569632e-5	1
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cyanno	drop-train	num-3	run0	2	Effector memory CD4+ T cells	Effector memory CD4+ T cells	124993	22	0	544186	1	4.0425719577808485e-5	0	0.9999595742804221
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cyanno	drop-both	num-3	run0	2	Effector memory CD4+ T cells	Effector memory CD4+ T cells	124993	22	0	544186	1	4.0425719577808485e-5	0	0.9999595742804221
