model	stratification	median_f1_macro	mean_f1_macro	median_f1_macro_known_conditional	mean_f1_macro_known_conditional	median_f1_macro_known_open_set	mean_f1_macro_known_open_set	median_precision_macro	mean_precision_macro	median_recall_macro	mean_recall_macro	median_balanced_accuracy	mean_balanced_accuracy	n_runs
gatemeclass[E]	drop-train	0.6665231949429512	0.6527734597862506	0.6665231949429512	0.6527734597862506	0.6089268796057791	0.5720852671802182	0.6977025335046755	0.684760927045087	0.7199585712607234	0.6954412765798167	0.8482145101454233	0.8356924896817279	57
gatemeclass[E]	unfiltered	0.6665231949429512	0.6527734597862506	0.6665231949429512	0.6527734597862506	0.6089268796057791	0.5720852671802182	0.6977025335046755	0.684760927045087	0.7199585712607234	0.6954412765798167	0.8482145101454233	0.8356924896817279	57
gatemeclass[V]	drop-both	0.6617317185647658	0.6151782345619801	0.6617317185647658	0.6151782345619801	0.6617317185647658	0.6151782345619801	0.7472127790419466	0.6690610817660563	0.6598376074600433	0.6425925441999704	0.8215958877155372	0.8093192060235803	57
gatemeclass[V]	drop-train	0.6612920198934231	0.6123618902247819	0.6612920198934231	0.6123618902247819	0.560958080855818	0.5320835745892427	0.7422012539988072	0.6671394494607192	0.6746354588689472	0.642470095078824	0.82280156856263	0.808896919426918	57
gatemeclass[V]	unfiltered	0.6612920198934231	0.6123618902247819	0.6612920198934231	0.6123618902247819	0.560958080855818	0.5320835745892427	0.7422012539988072	0.6671394494607192	0.6746354588689472	0.642470095078824	0.82280156856263	0.808896919426918	57
knn	drop-both	0.7616760197952398	0.7017502844331152	0.7616760197952398	0.7017502844331152	0.7616760197952398	0.7017502844331152	0.8076216240271974	0.757538551527862	0.7404252463267154	0.7064369775638797	0.8616538971227345	0.8465131596710327	77
knn	drop-train	0.7616760197952398	0.7017502844331152	0.7616760197952398	0.7017502844331152	0.6893667938319371	0.574707066734012	0.8076216240271974	0.757538551527862	0.7404252463267154	0.7064369775638797	0.8616538971227345	0.8465131596710327	77
knn	unfiltered	0.7616760197952398	0.7017502844331152	0.7616760197952398	0.7017502844331152	0.6893667938319371	0.574707066734012	0.8076216240271974	0.757538551527862	0.7404252463267154	0.7064369775638797	0.8616538971227345	0.8465131596710327	77
lda	drop-both	0.8589696720107168	0.7956345615232345	0.8589696720107168	0.7956345615232345	0.8589696720107168	0.7956345615232345	0.8806204663214725	0.8231099664854865	0.8501884809491376	0.8006903867957326	0.9206994512414063	0.8962861545572883	77
lda	drop-train	0.8589696720107168	0.7956345615232345	0.8589696720107168	0.7956345615232345	0.7957094092672305	0.6564438243872432	0.8806204663214725	0.8231099664854865	0.8501884809491376	0.8006903867957326	0.9206994512414063	0.8962861545572883	77
lda	unfiltered	0.8589696720107168	0.7956345615232345	0.8589696720107168	0.7956345615232345	0.7957094092672305	0.6564438243872432	0.8806204663214725	0.8231099664854865	0.8501884809491376	0.8006903867957326	0.9206994512414063	0.8962861545572883	77
random	drop-both	0.17290881502415784	0.12246516348065498	0.17290881502415784	0.12246516348065498	0.17290881502415784	0.12246516348065498	0.19968186555489714	0.1493374133917275	0.19933123195557376	0.1494052041320899	0.49988654259345633	0.49985662555530713	77
random	drop-train	0.17282074435300765	0.12255574932003688	0.17282074435300765	0.12255574932003688	0.10251603235751298	0.09927005258640215	0.19971638766032643	0.1494248814952342	0.19939955743027302	0.14910250168504566	0.49993160441351947	0.49971362719351636	77
random	unfiltered	0.17282074435300765	0.12255574932003688	0.17282074435300765	0.12255574932003688	0.10251603235751298	0.09927005258640215	0.19971638766032643	0.1494248814952342	0.19939955743027302	0.14910250168504566	0.49993160441351947	0.49971362719351636	77
